,title,company,contract_type,location,salary,remote_type,starting_date,required_experience,education,description,profil_experience,publication_date,url_direct_offer
10,Data Engineer H/F,"{'name': 'Michael Page', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Colombes, Nanterre",0,,,,,"Notre client est un leader européen des solutions de pré-collecte des déchets. Du conteneur jusqu'aux prestations de services en passant par la digitalisation des données, nous accompagnons les collectivités locales et les entreprises pour relever l'un des grands défis environnementaux : Optimiser la gestion des déchets et les valoriser dans un monde toujours plus urbanisé. En tant que Data Engineer, vos missions seront les suivantes : Cartographier les données de l'entreprise, mettre en oeuvre…",,2024-02-09,https://www.adzuna.fr/land/ad/4563520550?se=lkQ1l-XS7hG9HiardZxwWA&utm_medium=api&utm_source=37fe08af&v=FC05FB39D125C980B83F31358565E35A460FD2EF
11,Data Engineer (F/H),"{'name': 'THALES', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Vélizy-Villacoublay, Versailles",0,,,,,"QUI SOMMES-NOUS ? Au sein du site de Vélizy, nos équipes hautement qualifiées conçoivent et produisent des amplificateurs de puissance (tubes à ondes progressives, klystrons, gyrotrons, sous-systèmes pour les Grandes Infrastructures de Recherche, etc.) à destination des marchés Défense, Sécurité, Spatial et Scientifique. Chaque jour nos cadres, ingénieurs, techniciens et opérateurs mettent en commun leurs savoir-faire unique au service de l'innovation. Description de l'emploi QUI SOMMES-NOUS ? …",,2024-02-22,https://www.adzuna.fr/land/ad/4578817907?se=lkQ1l-XS7hG9HiardZxwWA&utm_medium=api&utm_source=37fe08af&v=0A870C1D272DB3A71FEF58BB2209580E42E66A6A
12,Data Engineer Cloud Data F/H,"{'name': 'CGI France', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Toulouse, Haute-Garonne",0,,,,,"Position Description: Big Data, Data Science, Data analyse, Data architecture,  Ça n'a pas de secret pour vous ? Que vous commenciez votre carrière professionnelle ou que vous soyez spécialiste de l'une de ces disciplines, intégrer notre communauté Data, c'est l'assurance de progresser, innover, partager, vous certifier et rendre service à nos clients. Rejoignez notre centre d'excellence en innovation à Toulouse et rendez unique l'expérience digitale de nos clients en travaillant sur des sujets…",,2024-02-09,https://www.adzuna.fr/land/ad/4563521493?se=lkQ1l-XS7hG9HiardZxwWA&utm_medium=api&utm_source=37fe08af&v=A3BDB813D3AB71100774619EC054AD8B62FC7715
13,Data Engineer Cloud Data F/H,"{'name': 'CGI France', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Paris, Ile-de-France",0,,,,,"Position Description: Big Data, Data Science, Data analyse, Data architecture,  Ça n'a pas de secret pour vous ? Que vous commenciez votre carrière professionnelle ou que vous soyez spécialiste de l'une de ces disciplines, intégrer notre communauté Data, c'est l'assurance de progresser, innover, partager, vous certifier et rendre service à nos clients. Rejoignez notre centre d'excellence en innovation à Paris et rendez unique l'expérience digitale de nos clients en travaillant sur des sujets te…",,2024-02-09,https://www.adzuna.fr/land/ad/4563519416?se=lkQ1l-XS7hG9HiardZxwWA&utm_medium=api&utm_source=37fe08af&v=FAD7926CFFB8FB2DFD24F242A48C88D1BF95F0FB
14,Data Engineer Cloud Data F/H,"{'name': 'CGI France', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Tours, Indre-et-Loire",0,,,,,"Position Description: Big Data, Data Science, Data analyse, Data architecture,  Ça n'a pas de secret pour vous ? Que vous commenciez votre carrière professionnelle ou que vous soyez spécialiste de l'une de ces disciplines, intégrer notre communauté Data, c'est l'assurance de progresser, innover, partager, vous certifier et rendre service à nos clients. Rejoignez notre centre d'excellence en innovation à Tours et rendez unique l'expérience digitale de nos clients en travaillant sur des sujets te…",,2024-02-09,https://www.adzuna.fr/land/ad/4563520367?se=lkQ1l-XS7hG9HiardZxwWA&utm_medium=api&utm_source=37fe08af&v=875D24E8B7D4EDBE1D3B1660505E1A19A9405FD1
15,Data Engineer Cloud Data F/H,"{'name': 'CGI France', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Montpellier, Hérault",0,,,,,"Position Description: Big Data, Data Science, Data analyse, Data architecture,  Ça n'a pas de secret pour vous ? Que vous commenciez votre carrière professionnelle ou que vous soyez spécialiste de l'une de ces disciplines, intégrer notre communauté Data, c'est l'assurance de progresser, innover, partager, vous certifier et rendre service à nos clients. Rejoignez notre centre d'excellence en innovation à Montpellier et rendez unique l'expérience digitale de nos clients en travaillant sur des suj…",,2024-02-09,https://www.adzuna.fr/land/ad/4563519367?se=yFvrl-XS7hGmpTgGTqQgFg&utm_medium=api&utm_source=37fe08af&v=9BADED812BF50132C2CDB5207FEF9C52ADA7CDCD
16,Data Engineer - Banque Data Factory - Nantes,"{'name': 'Groupe SOPRA STERIA', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Nantes, Loire-Atlantique",0,,,,,"Company Description Sopra Steria , l'un des leaders européens de la Tech reconnu pour ses activités de conseil, de services numériques et d'édition de logiciels, aide ses clients à mener leur transformation digitale et à obtenir des bénéfices concrets et durables. Il apporte une réponse globale aux enjeux de compétitivité des grandes entreprises et organisations, combinant une connaissance approfondie des secteurs d'activité et des technologies innovantes à une approche résolument collaborative…",,2024-02-13,https://www.adzuna.fr/land/ad/4567731310?se=yFvrl-XS7hGmpTgGTqQgFg&utm_medium=api&utm_source=37fe08af&v=0C2DEEDF04DAA84140A69A8D96CB3A033D9AD437
17,Ingénieur Data Engineer (F/H),"{'name': 'THALES', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Vélizy-Villacoublay, Versailles",0,,,,,"QUI SOMMES-NOUS ? Au sein du site de Vélizy, nos équipes hautement qualifiées conçoivent et produisent des amplificateurs de puissance (tubes à ondes progressives, klystrons, gyrotrons, sous-systèmes pour les Grandes Infrastructures de Recherche, etc.) à destination des marchés Défense, Sécurité, Spatial et Scientifique. Chaque jour nos cadres, ingénieurs, techniciens et opérateurs mettent en commun leurs savoir-faire unique au service de l'innovation. QUI SOMMES-NOUS ? Thales est un leader mon…",,2024-02-22,https://www.adzuna.fr/land/ad/4578817886?se=yFvrl-XS7hGmpTgGTqQgFg&utm_medium=api&utm_source=37fe08af&v=6EE916337EBDD2781443F4CF4C33FFF5A544F623
18,Data Engineer Talend H/F,"{'name': 'Michael Page', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Aix-en-Provence, Bouches-du-Rhône",0,,,,,"Leader sur son marché avec plus de 150 ans d'existence , notre client a su s'imposer comme la solution référente dans son secteur. Le Groupe comporte aujourd'hui 6400 Collaborateurs et près de 600 agences sur tout le territoire national. En qualité de Data Engineer Talend, vous serez rattaché au Responsable de Domaine et vous serez en charge de collecter, traiter, fiabiliser et stocker les données provenant de sources internes et externes. Dans ce contexte, vos responsabilités seront les suivan…",,2024-02-09,https://www.adzuna.fr/land/ad/4563520541?se=yFvrl-XS7hGmpTgGTqQgFg&utm_medium=api&utm_source=37fe08af&v=7C6D8C8625697C52764329EE4AA782031E42E553
19,Stage: Data Engineer F/H,"{'name': 'CGI France', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Toulouse, Haute-Garonne",0,,,,,"Position Description: Vous rejoignez CGI, leader mondial du conseil et des services numériques à Toulouse et accompagnez nos clients. Rejoignez notre centre d'excellence en innovation à Toulouse et rendez unique l'expérience digitale de nos clients en travaillant sur des sujets tels que le marketing digital, User eXperience, CRM, RPA, data, développement web et mobile, API management ou encore cybersécurité ? Your future duties and responsibilities: Objectif du stage : Ce stage te permettra de …",,2024-02-09,https://www.adzuna.fr/land/ad/4563520081?se=yFvrl-XS7hGmpTgGTqQgFg&utm_medium=api&utm_source=37fe08af&v=A4A8EEE4CF944ADBD7F73EC3B25E63159324BB8A
20,Data Engineer Splunk F/H,"{'name': 'CGI France', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Toulouse, Haute-Garonne",0,,,,,"Position Description: Big Data, Data Science, Data analyse, Data architecture,  Ça n'a pas de secret pour vous ? Que vous commenciez votre carrière professionnelle ou que vous soyez spécialiste de l'une de ces disciplines, intégrer notre communauté Data, c'est l'assurance de progresser, innover, partager, vous certifier et rendre service à nos clients. Rejoignez notre centre d'excellence en innovation à Toulouse et rendez unique l'expérience digitale de nos clients en travaillant sur des sujets…",,2024-02-09,https://www.adzuna.fr/land/ad/4563520239?se=EHKlmOXS7hGmpTgGTqQgFg&utm_medium=api&utm_source=37fe08af&v=CD8E1CE76030447C8F27095293DEF5CDBDBEFA87
21,Data engineer Azure F/H,"{'name': 'CELAD', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,France,0,,,,,"Description du poste Envie d’un nouveau challenge… CELAD vous attend  Votre mission : Le projet se déroule sur un environnement technique Microsoft Cloud Azure avec une architecture orientée Big Data comportant un Data Lake (Sparks) alimentant des cubes tabulaires. Power BI est l’outil de reporting du groupe. Votre profil : De formation ingénieur BAC5, vous justifiez idéalement d’une expérience de 3 ans minimum en tant que Data engineer Objectifs/Réalisations : Le périmètre d’intervention est l…",,2024-02-09,https://www.adzuna.fr/land/ad/4563520156?se=EHKlmOXS7hGmpTgGTqQgFg&utm_medium=api&utm_source=37fe08af&v=19FAD14835C0C27A34D173AC0EFD9BE92796713F
22,Big Data Engineer H/F,"{'name': 'Michael Page', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Courbevoie, Nanterre",0,,,,,"Notre client est un acteur incontournable du secteur de l'énergie. Dans un contexte de transformation majeure de son SI, liée à l'intégration de technologies innovantes ainsi qu'à de forts enjeux de transition énergétique, notre client ambitionne de doubler les effectifs de sa DSI dans les prochaines années. Au sein de la DSI Groupe, rattaché au Pôle Données, vos responsabilités sont les suivantes : Votre mission première sera de participer activement à la démarche d'industrialisation des solut…",,2024-02-09,https://www.adzuna.fr/land/ad/4563520218?se=EHKlmOXS7hGmpTgGTqQgFg&utm_medium=api&utm_source=37fe08af&v=4F301CC2992AA0C6B86B61473563A6C34410DC4A
23,Data Engineer Talend F/H,"{'name': 'OBS', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Villeneuve-d'Ascq, Lille",0,,,,,"about the role Afin de développer notre équipe lilloise, nous recherchons aujourd'hui, un Ingénieur DATA à même d'accompagner nos clients dans la structuration de leurs SI autour de la donnée. Vos principales missions seront les suivantes : - Concevoir des solutions de traitement et collecter des volumes importants de données. - Participer à des études de cadrage pour collecter le besoin métier et concevoir les solutions qui répondent au besoin du client. - Apporter son expertise sur des problé…",,2024-02-13,https://www.adzuna.fr/land/ad/4567731333?se=EHKlmOXS7hGmpTgGTqQgFg&utm_medium=api&utm_source=37fe08af&v=AFF2475E414960F83013E47912AF294317EF8C2C
24,Senior Data Engineer H/F,"{'name': 'Michael Page', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Paris, Ile-de-France",0,,,,,"CORUM L'Epargne est une entreprise européenne indépendante avec plus de 250 salariés au service de ses clients, elle propose des services et des produits d'épargne performants et innovants dans plusieurs pays européens. L'entreprise est reconnue pour les succès de son développement et sa capacité d'innovation. Le Groupe est détenu exclusivement par ses Managers. Près de 120 000 clients ont déjà confié leur épargne à CORUM L'Epargne, ce qui représente au total plus de 7 milliards d'euros. Le Gro…",,2024-02-09,https://www.adzuna.fr/land/ad/4563521655?se=EHKlmOXS7hGmpTgGTqQgFg&utm_medium=api&utm_source=37fe08af&v=890529977517F4BC7BC0531DC7A85C960ECC75ED
25,Stage: Data Engineer F/H,"{'name': 'CGI France', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Montpellier, Hérault",0,,,,,"Position Description: Vous rejoignez CGI, leader mondial du conseil et des services numériques à Montpellier et accompagnez nos clients. Rejoignez notre centre d'excellence en innovation à Toulouse et rendez unique l'expérience digitale de nos clients en travaillant sur des sujets tels que le marketing digital, User eXperience, CRM, RPA, data, développement web et mobile, API management ou encore cybersécurité ? Your future duties and responsibilities: Objectif du stage : Ce stage te permettra …",,2024-02-09,https://www.adzuna.fr/land/ad/4563521057?se=DqNcmeXS7hG9HiardZxwWA&utm_medium=api&utm_source=37fe08af&v=3BEAB51A9E494F53E7B8801CDB9AAF3E92A7CF53
26,Data Engineer/Architecte H/F,"{'name': 'Michael Page', 'sector': 'unknown', 'employees': None, 'creation_year': None, 'turnover': None, 'mean_age': None}",permanent and full_time,"Ivry-sur-Seine, Créteil",0,,,,,"Notre client est la centrale d'achat d'un grand Groupe de la grande distribution. Le projet de recrutement s'inscrit dans une réinternalisation des équipes data. En tant que Data Engineer/Architecte, vos missions seront les suivantes : Être responsable de la conception et de la gestion de l'architecture des données sur la plateforme GCP, Vous définissez l'architecture, les normes et bonnes pratiques, Vous prenez en compte les besoins fonctionnels afin d'établir le design, Vous sélectionnez et c…",,2024-02-09,https://www.adzuna.fr/land/ad/4563521712?se=DqNcmeXS7hG9HiardZxwWA&utm_medium=api&utm_source=37fe08af&v=5A698E00C2FAD537B0905942442348F9743E5739
